Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 60,O[C@H]1C[C@@H](O[C@@H]1COP(=O)(O)O)n1cnc2c1nc(NCc1cccc3c1cccc3)[nH]c2=O,C21H22N5O7P,487.40,34,19,0.29,7,9,5,122.14,181.63,0.63,-0.06,0.98,0.45,0.20,0.44,-2.78,8.17e-01,1.68e-03,Soluble,-3.30,2.43e-01,4.98e-04,Soluble,-4.33,2.29e-02,4.69e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-9.32,1,1,1,1,1,0.11,0,1,1,4.72
Molecule 61,O=C(CO[P@@](=O)([C@@H](Cc1ccccc1)NC(=O)CCCC(=O)O)O)NCCc1ccccc1,C23H29N2O7P,476.46,33,12,0.35,16,7,4,122.65,151.84,1.61,1.46,2.49,1.31,2.23,1.82,-2.93,5.64e-01,1.18e-03,Soluble,-4.25,2.65e-02,5.56e-05,Moderately soluble,-6.20,2.99e-04,6.28e-07,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.17,0,0,2,1,2,0.11,0,1,2,4.87
Molecule 62,OC(=O)COc1ccc(cc1C)SCc1sc(nc1C)c1ccc(cc1)C(F)(F)F,C21H18F3NO3S2,453.50,30,17,0.24,8,7,1,111.76,112.96,3.25,5.87,7.20,3.90,7.08,5.46,-6.24,2.60e-04,5.74e-07,Poorly soluble,-8.01,4.38e-06,9.67e-09,Poorly soluble,-7.89,5.78e-06,1.27e-08,Poorly soluble,Low,No,No,No,Yes,Yes,Yes,Yes,-4.90,0,1,0,1,1,0.56,0,0,3,3.60
Molecule 63,OC(=O)Cc1cccc(c1)OCCCN(CC(c1ccccc1)c1ccccc1)Cc1cccc(c1Cl)C(F)(F)F,C33H31ClF3NO3,582.05,41,24,0.24,14,7,1,154.88,49.77,3.62,5.89,9.09,6.31,8.49,6.68,-6.67,1.25e-04,2.14e-07,Poorly soluble,-6.71,1.14e-04,1.96e-07,Poorly soluble,-12.10,4.63e-10,7.96e-13,Insoluble,Low,No,Yes,No,Yes,No,Yes,Yes,-5.67,2,4,1,1,1,0.17,0,0,3,3.74
Molecule 64,O=C(NC12CCC(CC1)([C@H](C2)OCOP(=O)(O)O)NC(=O)COc1ccc(c(c1)F)Cl)COc1ccc(c(c1)F)Cl,C25H27Cl2F2N2O9P,639.37,41,12,0.44,14,11,4,141.58,162.46,2.98,3.05,4.71,2.09,3.80,3.33,-5.02,6.13e-03,9.59e-06,Moderately soluble,-6.13,4.76e-04,7.45e-07,Poorly soluble,-7.36,2.80e-05,4.38e-08,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.03,2,2,2,1,3,0.11,0,2,2,5.70
Molecule 65,CNCC1CCCCN1C(=O)Oc1ccc(cc1OC)CNC(=O)CCCC/C=C/C(C)C,C26H41N3O4,459.62,33,6,0.62,15,5,2,136.73,79.90,4.91,4.18,4.12,2.73,4.62,4.11,-4.47,1.57e-02,3.41e-05,Moderately soluble,-5.57,1.25e-03,2.71e-06,Moderately soluble,-6.35,2.03e-04,4.43e-07,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-6.14,0,2,1,0,0,0.55,0,1,3,4.28
Molecule 66,OC(=O)[C@H](c1ccc2c(c1)nc(o2)c1ccc(cc1)F)C,C16H12FNO3,285.27,21,15,0.12,3,5,1,75.75,63.33,2.49,2.70,4.24,2.97,3.76,3.23,-3.64,6.53e-02,2.29e-04,Soluble,-3.68,5.92e-02,2.08e-04,Soluble,-5.51,8.71e-04,3.05e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.12,0,0,0,0,0,0.85,0,0,0,3.19
Molecule 67,N#Cc1ccc(cc1)c1nnc(o1)[C@@H]([C@@H](O)C)Nc1ccc(c(c1C)Cl)C#N,C20H16ClN5O2,393.83,28,17,0.20,5,6,2,103.71,118.76,2.88,3.14,3.46,1.60,3.94,3.01,-4.38,1.64e-02,4.18e-05,Moderately soluble,-5.30,1.96e-03,4.97e-06,Moderately soluble,-6.96,4.28e-05,1.09e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.47,0,0,0,0,0,0.55,0,0,1,4.04
Molecule 68,CN([C@H]1CCN(C1)Cc1ccc(cc1C(F)(F)F)C(=O)Nc1ccc(c(c1)Nc1nccc(n1)c1cncnc1)C)C,C30H31F3N8O,576.62,42,24,0.30,10,10,2,158.18,99.17,4.16,4.18,5.82,2.52,4.28,4.19,-5.81,8.90e-04,1.54e-06,Moderately soluble,-5.97,6.16e-04,1.07e-06,Moderately soluble,-10.24,3.29e-08,5.70e-11,Insoluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-6.85,1,4,0,0,0,0.55,0,0,3,4.47
Molecule 69,COc1ccc(cc1F)CSc1nnc(o1)c1ccc2c(c1)OCO2,C17H13FN2O4S,360.36,25,17,0.18,5,7,0,88.46,91.91,3.69,3.64,4.17,2.96,4.13,3.72,-4.54,1.04e-02,2.88e-05,Moderately soluble,-5.26,1.99e-03,5.51e-06,Moderately soluble,-6.53,1.07e-04,2.96e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.91,0,0,0,0,0,0.55,0,0,2,3.29
