Ligand,Best_Affinity_(kcal/mol)
321_Zidovudine_diphosphate,-7.552
262_N6_ISOPENTENYL_ADENOSINE_5__MONOPHOSPHATE,-7.536
13_Amiselimod,-7.513
135_Febuxostat,-7.505
451_Triciribine_phosphate,-7.498
401_Tenivastatin,-7.475
331_Fosdagrocorat,-7.469
99_Hexylphosphonic_acid__S__2_methyl_3_phenylpropyl_ester,-7.457
201_1__2_DEOXY_5_O_PHOSPHONO_BETA_D_ERYTHRO_PENTOFURANOSYL__4_METHYL_1H_INDOLE,-7.443
389_1__5_phospho_D_ribosyl__ATP,-7.441
120_MIP_1095_I_131,-7.437
289_Fasentin,-7.418
404_Leukotriene_C4,-7.417
325_PHENYL_1__N_SUCCINYLAMINO_PENTYL_PHOSPHONATE,-7.403
361_Abequolixron,-7.4
363_BX_528,-7.376
210_N_Pyridoxyl_2_Methylalanine_5_Phosphate,-7.369
130_Zidovudine_monophosphate,-7.366
109_2___4__TRIFLUOROMETHOXY_BENZOYL_AMINO_ETHYL_DIHYDROGEN_PHOSPHATE,-7.364
235_Iofolastat_I_123,-7.362
181_2__3__Dideoxythymidine_5__Monophosphate,-7.361
333_Cannabinor,-7.345
292_Benfotiamine,-7.32
270_BMS_986115,-7.281
8_Fingolimod,-7.272
222_4_NITRO_BENZYLPHOSPHONOBUTANOYL_GLYCINE,-7.268
198_Tenofovir_exalidex,-7.263
228_Thymidine_3__5__Diphosphate,-7.242
148_AP_22408,-7.235
313_Alpha_Ribazole_5__Phosphate,-7.228
484_Flavin_mononucleotide,-7.218
251__2S__2___4___2S__1__2_Amino_4_oxo_1_4_dihydro_6_quinazolinyl__3___2____2R_3R_4S_5R__3_4_dihydroxy_5___phosphonooxy_methyl_tetrahydro_2_furanyl_amino__2_oxoethyl_amino__2_hydroxy_2_propanyl_benzoyl_ami_no_pentanedioic_acid,-7.213
226_5_FLUOROINDOLE_PROPANOL_PHOSPHATE,-7.204
474_9_S__HODE,-7.179
449_Alpha_Ribazole_5__Phosphate_Derivative,-7.173
494_Formycin_5__Monophosphate,-7.152
220_Leniolisib,-7.147
211_2_METHYLTHIO_N6_ISOPENTENYL_ADENOSINE_5__MONOPHOSPHATE,-7.132
387_4_CDP_2_C_methyl_D_erythritol_2_phosphate,-7.107
131_Indole_3_Glycerol_Phosphate,-7.065
156_N__O_Phosphono_Pyridoxyl__Isoleucine,-7.064
250_N_Pyridoxyl_1_Amino_Cyclopropanecarboxylic_Acid_5_Monophosphate,-7.058
415_Halofantrine,-7.055
50__1S__menthyl_hexyl_phosphonate_group,-7.053
19__2_2_DIPHOSPHONOETHYL__DODECYL_DIMETHYLPHOSPHONIUM,-7.047
406_Mono__3_4_Dihydroxy_5__5_Methyl_Benzoimidazol_1_Yl__Tetrahydor_Furan_2_Ylmethyl__Ester,-7.046
467_2____4__TRIFLUOROMETHOXY_PHENYL_SULFONYL_AMINO_ETHYL_DIHYDROGEN_PHOSPHATE,-7.03
275_Adenylosuccinic_acid,-7.019
385_6_Chloropurine_Riboside__5__Monophosphate,-7.019
207_Brincidofovir,-7.016
469__9Z_11E_13S__13_hydroxyoctadeca_9_11_dienoic_acid,-6.999
392_Granotapide,-6.996
290_3__THIO_THYMIDINE_5__PHOSPHATE,-6.993
470_PF_06815345,-6.977
490_4_S_Glutathionyl_5_pentyl_tetrahydro_furan_2_ol,-6.97
200_3__deoxy_3__aminothymidine_monophosphate,-6.95
178_Ribavirin_monophosphate,-6.948
277_Nicotinamide_Mononucleotide,-6.947
218__C8_S__Hydantocidin_5__phosphate,-6.945
237_Phosporic_Acid_Mono__3_4_Dihydroxy_5__5_Methoxy_Benzoimidazol_1_Yl__Tetrahydro_Furan_2_Ylmethyl__Ester,-6.94
424_Uridine_5__Diphosphate_N_Acetylmuramoyl_L_Alanine,-6.925
242__2S__2___HYDROXY_4_IODOBENZYL_PHOSPHORYL_METHYL_PENTANEDIOIC_ACID,-6.922
197_N_Pyridoxyl_7_Keto_8_Aminopelargonic_Acid_5__Monophosphate,-6.913
193_ALPHA_HYDROXYFARNESYLPHOSPHONIC_ACID,-6.909
479_Uridine_monophosphate,-6.892
302_Cardiopet,-6.879
12_S__2___N___2S__2_hydroxy_3_3_dimethyl_4__phosphonooxy_butanoyl__beta_alanyl_amino_ethyl__octanethioate,-6.879
487_Mezigdomide,-6.864
196_3__Fluoro_3__deoxythymidine_5__monophosphate,-6.849
304_ISO24,-6.829
318_D__3_hydroxy_2_methyl_5_phosphonooxymethyl_pyridin_4_ylmethyl__N_O_cycloserylamide,-6.822
281_Indole_3_Propanol_Phosphate,-6.817
342_TMP,-6.811
227_Cyclic_3__5__thymidine_monophosphate,-6.8
367_Deoxyuridine_monophosphate,-6.799
213_ZD_6126,-6.796
369_Succinyl_Coenzyme_A,-6.795
14_1_DECYL_3_TRIFLUORO_ETHYL_SN_GLYCERO_2_PHOSPHOMETHANOL,-6.782
241_4__2_6_8_Trioxo_9___2S_3R_4R__2_3_4_5_Tetrahydroxypentyl__1_2_3_6_8_9_Hexahydro_7h_Purin_7_Yl_Butyl_Dihydrogen_Phosphate,-6.778
217__C8_R__hydantocidin_5__phosphate,-6.766
377_6_O_Phosphoryl_Inosine_Monophosphate,-6.766
263_S__2___N__2_HYDROXY_4___HYDROXY_OXIDO_PHOSPHINO_OXY__3_3_DIMETHYLBUTANOYL__BETA_ALANYL_AMINO_ETHYL__HEPTANETHIOATE,-6.753
413_Psilocybin,-6.743
97_PHOSPHONIC_ACID_2_DODECANOYLAMINO_HEXYL_ESTER_PROPYL_ESTER,-6.742
95_Vitamin_B6_Complexed_with_2_Amino_Pentanoic_Acid,-6.736
428__3s__3_4_Di_N_Hexanoyloxybutyl_1_Phosphocholine,-6.725
91__2R__2_Acetamido_3__octadecyloxy_propyl_2__methylsulfanyl_ethyl_hydrogen_phosphate,-6.724
29_Lpc_Ether,-6.722
307_6_Hydro_1_Methyladenosine_5__Monophosphate,-6.711
427_2__deoxy_5__hydroxymethyl_uridine_5___dihydrogen_phosphate_,-6.71
104_1_2_Dipalmitoyl_Phosphatidyl_Glycerole,-6.705
