SMILES,Common_Name,Best_Affinity_(kcal/mol)
Nc1nc(=O)c2cc(C[C@@](O)(CNCC(=O)N[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2[nH]1,"(2S)-2-({4-[(2S)-1-(2-Amino-4-oxo-1,4-dihydro-6-quinazolinyl)-3-{[2-({(2R,3R,4S,5R)-3,4-dihydroxy-5-[(phosphonooxy)methyl]tetrahydro-2-furanyl}amino)-2-oxoethyl]amino}-2-hydroxy-2-propanyl]benzoyl}ami no)pentanedioic acid",-7.213
O=P(O)(O)OCCCc1c[nH]c2ccc(F)cc12,5-FLUOROINDOLE PROPANOL PHOSPHATE,-7.204
CCCCC/C=C\C=C\[C@@H](O)CCCCCCCC(=O)O,9(S)-HODE,-7.179
O=P(O)(O)OC[C@H]1O[C@H](n2cnc3ccccc32)[C@H](O)[C@@H]1O,Alpha-Ribazole-5'-Phosphate Derivative,-7.173
Nc1ncnc2c([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)[nH]nc12,Formycin-5'-Monophosphate,-7.152
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,Leniolisib,-7.147
CSc1nc(NCCC(C)C)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,2-METHYLTHIO-N6-ISOPENTENYL-ADENOSINE-5'-MONOPHOSPHATE,-7.132
C[C@@](CO)(OP(=O)(O)O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,4-CDP-2-C-methyl-D-erythritol 2-phosphate,-7.107
O=P(O)(O)OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12,Indole-3-Glycerol Phosphate,-7.065
CC[C@H](C)[C@@H](NCc1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O,N-[O-Phosphono-Pyridoxyl]-Isoleucine,-7.064
Cc1ncc(COP(=O)(O)O)c(CNC2(C(=O)O)CC2)c1O,N-Pyridoxyl-1-Amino-Cyclopropanecarboxylic Acid-5-Monophosphate,-7.058
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,Halofantrine,-7.055
CCCCCC[P@](=O)(O)O[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,(1S)-menthyl hexyl phosphonate group,-7.053
CCCCCCCCCCCC[P+](C)(C)CC(P(=O)(O)O)P(=O)(O)O,"(2,2-DIPHOSPHONOETHYL)(DODECYL)DIMETHYLPHOSPHONIUM",-7.047
Cc1ccc2c(c1)ncn2[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,"Mono-[3,4-Dihydroxy-5-(5-Methyl-Benzoimidazol-1-Yl)-Tetrahydor-Furan-2-Ylmethyl] Ester",-7.046
O=P(O)(O)OCCNS(=O)(=O)c1ccc(OC(F)(F)F)cc1,2-({[4-(TRIFLUOROMETHOXY)PHENYL]SULFONYL}AMINO)ETHYL DIHYDROGEN PHOSPHATE,-7.03
O=C(O)C[C@H](Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O,Adenylosuccinic acid,-7.019
O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(Cl)[nH+]cnc32)[C@H](O)[C@@H]1O,"6-Chloropurine Riboside, 5'-Monophosphate",-7.019
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Brincidofovir,-7.016
