Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3
3-CYCLOHEXYL-1-(2-MORPHOLIN-4-YL-2-OXOETHYL)-2-PHENYL-1H-INDOLE-6-CARBOXYLIC ACID,O=C(O)c1ccc2c(C3CCCCC3)c(-c3ccccc3)n(CC(=O)N3CCOCC3)c2c1,446.54700000000025,4.913000000000006,1.0,4.0,5.0,5.0,33.0,6.0,3.0,71.77,0.4074074074074074
"N~2~-[(BENZYLOXY)CARBONYL]-N-[(1S,2S)-2-HYDROXY-1-(4-HYDROXYBENZYL)PROPYL]-L-LEUCINAMIDE",CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)[C@H](C)O,428.5290000000001,3.1414000000000013,4.0,5.0,2.0,10.0,31.0,7.0,2.0,107.89,0.4166666666666667
3-{[(4-methylphenyl)sulfonyl]amino}propyl pyridin-4-ylcarbamate,Cc1ccc(S(=O)(=O)NCCCOC(=O)Nc2ccncc2)cc1,349.41200000000003,2.3071200000000003,2.0,5.0,2.0,7.0,24.0,8.0,2.0,97.39,0.25
"(2S)-1-(2,5-dimethylphenoxy)-3-morpholin-4-ylpropan-2-ol",Cc1ccc(C)c(OC[C@@H](O)CN2CCOCC2)c1,265.35299999999995,1.3753399999999998,1.0,4.0,2.0,5.0,19.0,4.0,1.0,41.93000000000001,0.6
"2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE",COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)CS)CC2,431.5100000000002,2.7815000000000003,2.0,7.0,3.0,6.0,30.0,8.0,2.0,83.09,0.36363636363636365
"2,4-DIAMINO-1,5-DIPHENYL-3-HYDROXYPENTANE",N[C@@H](Cc1ccccc1)C(O)[C@@H](N)Cc1ccccc1,270.376,1.4873,3.0,3.0,2.0,6.0,20.0,3.0,2.0,72.27,0.29411764705882354
"2,4-Diamino-5-phenyl-6-ethylpyrimidine",CCc1nc(N)nc(N)c1-c1ccccc1,214.27200000000005,1.8704,2.0,4.0,2.0,2.0,16.0,4.0,2.0,77.82,0.16666666666666666
CP-94707,Cc1nc2cnccc2n1-c1ccc(Cn2c(=O)sc3ccccc32)cc1,372.45300000000003,4.153620000000004,0.0,6.0,5.0,3.0,27.0,6.0,5.0,52.71,0.09523809523809523
"Bis-1,2-{[(Z)-2-carboxy-2-methyl-1,3-dioxane]-5-yloxycarbamoyl}-ethane",CC1(C(=O)O)OCC(OC(=O)NCCNC(=O)OC2COC(C)(C(=O)O)OC2)CO1,436.3700000000003,-1.1287999999999958,4.0,10.0,2.0,7.0,30.0,14.0,0.0,188.17999999999998,0.75
"BIS-1,2-{[(Z)-2CARBOXY-2-METHYL-1,3-DIOXANE]-5-YLOXYCARBONYL}-PIPERAZINE",C[C@]1(C(=O)O)OC[C@@H](OC(=O)N2CCN(C(=O)O[C@H]3CO[C@@](C)(C(=O)O)OC3)CC2)CO1,462.40800000000036,-0.6903999999999961,2.0,10.0,3.0,4.0,32.0,14.0,0.0,170.59999999999997,0.7777777777777778
