Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3
Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,2180.317,-8.116429999999925,28.0,29.0,6.0,66.0,155.0,57.0,3.0,901.5700000000002,0.5408163265306123
Goserelin,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,1269.4330000000002,-3.1057000000000192,17.0,16.0,6.0,31.0,91.0,32.0,4.0,495.8899999999998,0.5084745762711864
Gramicidin D,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,1811.252999999999,4.867599999999982,20.0,16.0,8.0,51.0,131.0,35.0,8.0,519.8899999999998,0.5104166666666666
Desmopressin,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,1069.2379999999998,-4.13203000000001,14.0,15.0,4.0,19.0,74.0,28.0,2.0,435.40999999999985,0.4782608695652174
Cetrorelix,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,1431.0640000000003,-0.506130000000012,17.0,16.0,6.0,38.0,102.0,32.0,5.0,495.66999999999985,0.42857142857142855
Daptomycin,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1620.6930000000004,-5.621799999999983,22.0,24.0,4.0,35.0,115.0,43.0,3.0,702.02,0.5277777777777778
Cyclosporine,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1202.634999999999,3.2690000000000046,5.0,12.0,1.0,15.0,85.0,23.0,0.0,278.8,0.7903225806451613
Abarelix,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,1416.089,1.1679999999999986,13.0,16.0,6.0,38.0,101.0,29.0,5.0,424.97999999999985,0.4583333333333333
Pyridoxal phosphate,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,247.143,0.5174199999999998,3.0,5.0,1.0,4.0,16.0,8.0,1.0,116.95,0.25
Cyanocobalamin,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)[N]4[Co+][C]#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,1355.3880000000004,2.7222200000000063,9.0,21.0,8.0,27.0,93.0,30.0,2.0,477.84999999999997,0.6190476190476191
Tetrahydrofolic acid,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2,445.43600000000015,-0.28199999999999886,8.0,9.0,3.0,9.0,32.0,13.0,2.0,211.55999999999997,0.3157894736842105
Histidine,N[C@@H](Cc1c[nH]cn1)C(=O)O,155.15699999999998,-0.6359000000000001,3.0,3.0,1.0,3.0,11.0,5.0,1.0,92.00000000000001,0.3333333333333333
Ademetionine,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,398.4450000000001,-3.256899999999996,4.0,11.0,3.0,7.0,27.0,12.0,2.0,185.45999999999998,0.6
Pyruvic acid,CC(=O)C(=O)O,88.06199999999998,-0.34000000000000014,1.0,2.0,0.0,1.0,6.0,3.0,0.0,54.370000000000005,0.3333333333333333
Phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O,165.19199999999995,0.641,2.0,2.0,1.0,3.0,12.0,3.0,1.0,63.32000000000001,0.2222222222222222
Biotin,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,244.31600000000003,0.7968000000000001,3.0,3.0,2.0,5.0,16.0,6.0,0.0,78.43,0.8
Choline,C[N+](C)(C)CCO,104.17299999999999,-0.3150999999999999,1.0,1.0,0.0,2.0,7.0,2.0,0.0,20.23,1.0
Lysine,NCCCC[C@H](N)C(=O)O,146.19,-0.4726999999999995,3.0,3.0,0.0,5.0,10.0,4.0,0.0,89.34,0.8333333333333334
Arginine,N=C(N)NCCC[C@H](N)C(=O)O,174.204,-1.338429999999999,5.0,3.0,0.0,5.0,12.0,6.0,0.0,125.22000000000001,0.6666666666666666
Ascorbic acid,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,176.124,-1.4073999999999995,4.0,6.0,1.0,2.0,12.0,6.0,0.0,107.22000000000001,0.5
Spermine,NCCCNCCCCNCCCN,202.34599999999995,-0.35659999999999775,4.0,4.0,0.0,11.0,14.0,4.0,0.0,76.1,1.0
Aspartic acid,N[C@@H](CC(=O)O)C(=O)O,133.10299999999998,-1.127,3.0,3.0,0.0,3.0,9.0,5.0,0.0,100.62000000000002,0.5
Ornithine,NCCC[C@H](N)C(=O)O,132.163,-0.8627999999999991,3.0,3.0,0.0,4.0,9.0,4.0,0.0,89.34,0.8
L-Glutamine,NC(=O)CC[C@H](N)C(=O)O,146.14600000000002,-1.3361999999999998,3.0,3.0,0.0,4.0,10.0,5.0,0.0,106.41000000000001,0.6
Adenosine phosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,347.224,-1.8630000000000009,5.0,10.0,3.0,4.0,23.0,13.0,2.0,186.07,0.5
alpha-Linolenic acid,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,278.4359999999999,5.660500000000005,1.0,1.0,0.0,13.0,20.0,2.0,0.0,37.3,0.6111111111111112
Serine,N[C@@H](CO)C(=O)O,105.09299999999999,-1.6093999999999997,3.0,3.0,0.0,2.0,7.0,4.0,0.0,83.55,0.6666666666666666
Methionine,CSCC[C@H](N)C(=O)O,149.215,0.1513999999999998,2.0,3.0,0.0,4.0,9.0,4.0,0.0,63.32000000000001,0.8
Tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O,181.19099999999997,0.3466,3.0,3.0,1.0,3.0,13.0,4.0,1.0,83.55,0.2222222222222222
Calcitriol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,416.6460000000002,5.704700000000008,3.0,3.0,3.0,6.0,30.0,3.0,0.0,60.69,0.7777777777777778
Lutein,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,568.8860000000002,10.403299999999993,2.0,2.0,2.0,10.0,42.0,2.0,0.0,40.46,0.45
Cystine,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,240.306,-0.8083999999999993,4.0,6.0,0.0,7.0,14.0,8.0,0.0,126.64,0.6666666666666666
Succinic acid,O=C(O)CCC(=O)O,118.088,-0.06420000000000009,2.0,2.0,0.0,3.0,8.0,4.0,0.0,74.6,0.5
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,376.36900000000014,-1.7235599999999989,5.0,9.0,3.0,5.0,27.0,10.0,1.0,161.56,0.4117647058823529
N-Acetylglucosamine,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,221.209,-3.234999999999999,5.0,6.0,0.0,6.0,15.0,7.0,0.0,127.09000000000002,0.75
Glutamic acid,N[C@@H](CCC(=O)O)C(=O)O,147.13,-0.7368999999999997,3.0,3.0,0.0,4.0,10.0,5.0,0.0,100.62000000000002,0.6
Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,307.32800000000003,-2.2060999999999984,6.0,6.0,0.0,9.0,20.0,10.0,0.0,158.82,0.6
Phosphatidyl serine,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC,792.088999999999,11.509899999999991,3.0,9.0,0.0,42.0,54.0,12.0,0.0,171.67999999999998,0.9285714285714286
Glycine,NCC(=O)O,75.067,-0.9702999999999999,2.0,2.0,0.0,1.0,5.0,3.0,0.0,63.32000000000001,0.5
Calcifediol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,400.6470000000002,6.733900000000008,2.0,2.0,3.0,6.0,29.0,2.0,0.0,40.46,0.7777777777777778
Pyridoxal,Cc1ncc(CO)c(C=O)c1O,167.164,0.40041999999999983,2.0,4.0,1.0,2.0,12.0,4.0,1.0,70.42,0.25
Creatine,CN(CC(=O)O)C(=N)N,131.13499999999996,-1.1037299999999988,3.0,2.0,0.0,2.0,9.0,5.0,0.0,90.41000000000001,0.5
Leucine,CC(C)C[C@H](N)C(=O)O,131.175,0.44439999999999996,2.0,2.0,0.0,3.0,9.0,3.0,0.0,63.32000000000001,0.8333333333333334
Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,204.22899999999998,1.1223000000000003,3.0,2.0,2.0,3.0,15.0,4.0,2.0,79.11,0.18181818181818182
Cysteine,N[C@@H](CS)C(=O)O,121.16099999999997,-0.6719000000000002,3.0,3.0,0.0,2.0,7.0,4.0,0.0,63.32000000000001,0.6666666666666666
Thiamine,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,265.36199999999997,0.60774,2.0,5.0,2.0,4.0,18.0,6.0,2.0,75.91,0.4166666666666667
Ergocalciferol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,396.6590000000001,7.641000000000008,1.0,1.0,3.0,5.0,29.0,1.0,0.0,20.23,0.7142857142857143
Dihomo-gamma-linolenic acid,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,306.49,6.440700000000006,1.0,1.0,0.0,15.0,22.0,2.0,0.0,37.3,0.65
Citrulline,NC(=O)NCCC[C@H](N)C(=O)O,175.188,-1.1531999999999993,4.0,3.0,0.0,5.0,12.0,6.0,0.0,118.44000000000001,0.6666666666666666
Threonine,C[C@@H](O)[C@H](N)C(=O)O,119.11999999999999,-1.2208999999999997,3.0,3.0,0.0,2.0,8.0,4.0,0.0,83.55,0.75
NADH,NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,665.4460000000005,-2.6863999999999972,8.0,18.0,5.0,11.0,44.0,23.0,2.0,317.62000000000006,0.5238095238095238
Folic acid,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,441.40400000000017,-0.04479999999999945,6.0,9.0,3.0,9.0,32.0,13.0,3.0,213.27999999999994,0.21052631578947367
Icosapent,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,302.458,5.9927000000000055,1.0,1.0,0.0,13.0,22.0,2.0,0.0,37.3,0.45
Alanine,C[C@H](N)C(=O)O,89.09399999999998,-0.5817999999999999,2.0,2.0,0.0,1.0,6.0,3.0,0.0,63.32000000000001,0.6666666666666666
Valine,CC(C)[C@H](N)C(=O)O,117.14799999999998,0.05430000000000007,2.0,2.0,0.0,2.0,8.0,3.0,0.0,63.32000000000001,0.8
Vitamin A,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,286.45900000000006,5.510300000000006,1.0,1.0,1.0,5.0,21.0,1.0,0.0,20.23,0.5
Vitamin E,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,430.7170000000003,8.840260000000002,1.0,2.0,2.0,12.0,31.0,2.0,1.0,29.46,0.7931034482758621
Pyridoxine,Cc1ncc(CO)c(CO)c1O,169.18,0.08021999999999985,3.0,4.0,1.0,2.0,12.0,4.0,1.0,73.58000000000001,0.375
Lipoic acid,O=C(O)CCCC[C@@H]1CCSS1,206.332,2.7851000000000017,1.0,3.0,1.0,5.0,12.0,4.0,0.0,37.3,0.875
Isoleucine,CC[C@H](C)[C@H](N)C(=O)O,131.175,0.44439999999999996,2.0,2.0,0.0,3.0,9.0,3.0,0.0,63.32000000000001,0.8333333333333334
Aspartame,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,294.307,-0.31109999999999954,3.0,5.0,1.0,7.0,21.0,7.0,1.0,118.72000000000001,0.35714285714285715
Cholecalciferol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,384.6480000000002,7.619000000000008,1.0,1.0,3.0,6.0,28.0,1.0,0.0,20.23,0.7777777777777778
Menadione,CC1=CC(=O)c2ccccc2C1=O,172.18299999999996,2.0119000000000002,0.0,2.0,2.0,0.0,13.0,2.0,1.0,34.14,0.09090909090909091
ATP,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,507.1820000000001,-1.629000000000001,7.0,14.0,3.0,8.0,31.0,21.0,2.0,279.13,0.5
Proline,O=C(O)[C@@H]1CCCN1,115.13200000000002,-0.177,2.0,2.0,1.0,1.0,8.0,3.0,0.0,49.33,0.8
Adenine,Nc1ncnc2nc[nH]c12,135.13,-0.0648999999999999,2.0,4.0,2.0,0.0,10.0,5.0,2.0,80.47999999999999,0.0
Asparagine,NC(=O)C[C@H](N)C(=O)O,132.119,-1.7263000000000002,3.0,3.0,0.0,3.0,9.0,5.0,0.0,106.41000000000001,0.5
Pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,424.5340000000002,2.4404000000000003,4.0,6.0,2.0,10.0,30.0,7.0,0.0,124.29,0.7391304347826086
Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,318.339,3.201500000000001,1.0,4.0,1.0,9.0,22.0,7.0,1.0,56.84,0.5333333333333333
Valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,435.52800000000013,4.161700000000002,2.0,5.0,3.0,10.0,32.0,8.0,3.0,112.07000000000001,0.375
Ramipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,416.5180000000003,2.3831999999999995,2.0,5.0,3.0,9.0,30.0,7.0,1.0,95.94000000000001,0.6086956521739131
Masoprocol,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,302.37,3.5664000000000033,4.0,4.0,2.0,5.0,22.0,4.0,2.0,80.92,0.3333333333333333
Flunisolide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,434.50400000000025,2.2747000000000006,2.0,6.0,5.0,2.0,31.0,7.0,0.0,93.06,0.75
Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,213.664,1.857,2.0,2.0,1.0,4.0,14.0,4.0,1.0,63.32000000000001,0.3
Amphetamine,CC(N)Cc1ccccc1,135.20999999999998,1.5763,1.0,1.0,1.0,2.0,10.0,1.0,1.0,26.02,0.3333333333333333
Pentagastrin,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,767.9060000000002,1.5202000000000044,8.0,9.0,3.0,20.0,54.0,17.0,3.0,250.91,0.43243243243243246
Nicotine,CN1CCC[C@H]1c1cccnc1,162.236,1.8483,0.0,2.0,2.0,1.0,12.0,2.0,1.0,16.130000000000003,0.5
Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1,199.31899999999993,1.5602,0.0,3.0,4.0,0.0,13.0,3.0,0.0,12.47,1.0
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.163,3.1013000000000015,2.0,3.0,3.0,1.0,21.0,6.0,2.0,61.69,0.06666666666666667
Esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,295.379,1.5298999999999996,2.0,5.0,1.0,9.0,21.0,5.0,1.0,67.79,0.5625
Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,384.24500000000006,0.36059999999999964,4.0,6.0,2.0,9.0,28.0,9.0,2.0,124.44000000000001,0.3684210526315789
Ethchlorvynol,C#CC(O)(/C=C/Cl)CC,144.60099999999997,1.5132,1.0,1.0,0.0,2.0,9.0,2.0,0.0,20.23,0.42857142857142855
Carbidopa,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,226.232,-0.05310000000000015,5.0,5.0,1.0,4.0,16.0,6.0,1.0,115.81000000000002,0.3
Phentermine,CC(C)(N)Cc1ccccc1,149.237,1.9664,1.0,1.0,1.0,2.0,11.0,1.0,1.0,26.02,0.4
Indecainide,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,308.425,3.2166000000000015,2.0,2.0,3.0,6.0,23.0,3.0,2.0,55.12,0.35
Tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1,263.3809999999999,2.6346000000000007,1.0,3.0,2.0,4.0,19.0,3.0,1.0,32.7,0.625
Vidarabine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,267.245,-1.9800000000000006,4.0,9.0,3.0,2.0,19.0,9.0,2.0,139.54000000000002,0.5
Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,307.434,2.3933999999999997,2.0,4.0,2.0,11.0,22.0,4.0,1.0,50.72,0.6666666666666666
Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.276,0.7357999999999993,1.0,7.0,3.0,5.0,22.0,9.0,3.0,81.64999999999999,0.23076923076923078
Troglitazone,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,441.54900000000015,4.374260000000002,2.0,6.0,4.0,5.0,31.0,7.0,2.0,84.86,0.4166666666666667
Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,312.41,1.2853999999999997,2.0,5.0,1.0,7.0,22.0,6.0,0.0,90.64999999999999,0.75
Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,733.9370000000002,1.785600000000004,5.0,14.0,3.0,7.0,51.0,14.0,0.0,193.91,0.9459459459459459
Hydroxocobalamin,CC1=C2[N]3[C@@H]4[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)n2c[n+](c5cc(C)c(C)cc52)[Co-3]325([OH])[N+]3=C1[C@@H](CCC(N)=O)C(C)(C)C3=CC1=[N+]2C(=C(C)C2=[N+]5[C@]4(C)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]1CCC(N)=O,1346.3769999999997,-0.21625999999999912,10.0,17.0,12.0,16.0,92.0,30.0,2.0,437.22999999999985,0.6290322580645161
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.194,-1.0293,0.0,6.0,2.0,0.0,14.0,6.0,2.0,61.82,0.375
Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,290.404,0.2654000000000025,0.0,4.0,0.0,9.0,20.0,6.0,0.0,52.60000000000001,0.8571428571428571
Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,474.5870000000004,1.6109,1.0,8.0,4.0,7.0,33.0,11.0,3.0,113.41999999999999,0.5
Dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,441.57500000000016,1.9828999999999997,2.0,6.0,2.0,11.0,29.0,10.0,2.0,104.81,0.3684210526315789
Pyrimethamine,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,248.71700000000004,2.5238000000000005,2.0,4.0,2.0,2.0,17.0,5.0,2.0,77.82,0.16666666666666666
Reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,608.6880000000004,4.171100000000004,1.0,10.0,6.0,8.0,44.0,11.0,3.0,117.78000000000003,0.5151515151515151
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,748.9960000000001,1.9007000000000054,5.0,14.0,3.0,7.0,52.0,14.0,0.0,180.08,0.9736842105263158
Ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,263.793,3.959800000000002,0.0,2.0,3.0,2.0,17.0,3.0,2.0,3.24,0.2857142857142857
Trospium,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,392.519,3.769700000000003,1.0,3.0,5.0,4.0,29.0,4.0,2.0,46.53,0.48
Adapalene,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,412.5290000000003,6.681400000000005,1.0,2.0,7.0,4.0,31.0,3.0,3.0,46.53,0.39285714285714285
Midodrine,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,254.28599999999997,-0.18789999999999946,3.0,5.0,1.0,6.0,18.0,6.0,1.0,93.80999999999999,0.4166666666666667
Remikiren,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,630.8520000000002,3.0962000000000023,5.0,7.0,4.0,15.0,44.0,11.0,2.0,161.47999999999996,0.6666666666666666
Pantoprazole,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,383.37600000000003,2.8843000000000005,1.0,6.0,3.0,7.0,26.0,10.0,3.0,86.33,0.25
Torasemide,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,348.4280000000001,2.5299199999999997,3.0,5.0,2.0,5.0,24.0,8.0,2.0,100.19,0.25
Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.39900000000006,3.812980000000003,0.0,3.0,3.0,5.0,24.0,4.0,2.0,36.26,0.35
Eletriptan,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,382.5290000000001,3.8210000000000024,1.0,3.0,4.0,6.0,27.0,5.0,3.0,53.17,0.36363636363636365
Bethanidine,C/N=C(\NC)NCc1ccccc1,177.251,0.9813999999999995,2.0,1.0,1.0,2.0,13.0,3.0,1.0,36.42,0.3
Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,401.4380000000002,2.3705000000000007,2.0,6.0,5.0,4.0,29.0,8.0,2.0,83.80000000000001,0.5238095238095238
Oxyphenonium,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,348.50700000000023,3.4841000000000015,1.0,3.0,2.0,8.0,25.0,4.0,1.0,46.53,0.6666666666666666
