Molecule ChEMBL ID,Smiles,Standard Value,Standard Type,pChEMBL Value,Activity_Class
CHEMBL5932787,CC(C)(C)CSC[C@@H]1CCc2cc([C@H]3CC[C@](N)(COP(=O)(O)O)C3)ccc2C1,55.0,EC50,7.26,Active
CHEMBL5812146,Cc1cccc(C)c1SC[C@@H]1CCc2cc([C@H]3CC[C@](N)(COP(=O)(O)O)C3)ccc2C1,550.0,EC50,6.26,Active
CHEMBL6011673,CC(C)c1ccc(OC[C@@H]2CCc3cc([C@H]4CC[C@](N)(COP(=O)(O)O)C4)ccc3C2)cc1,55.0,EC50,7.26,Active
CHEMBL1446971,CCOc1cc(/C=C\[N+](=O)[O-])ccc1OCC(=O)Nc1ccccc1C,18830.0,IC50,4.72,Inactive
CHEMBL1382558,O=C(Nc1ccc(N2CCN(C(=O)c3ccccc3)CC2)cc1)c1ccc([N+](=O)[O-])o1,12700.0,IC50,4.9,Inactive
CHEMBL5941678,COCCCCC[C@H]1CCc2cc([C@H]3CC[C@@](N)(COP(=O)(O)O)C3)ccc2C1,3.0,IC50,8.52,Active
CHEMBL1533279,O=C1C=C(c2ccc(Cl)cc2)C(=O)N1Nc1ccccc1,13600.0,IC50,4.87,Inactive
CHEMBL3402545,CCc1nnc(C(C)NS(=O)(=O)c2ccc(Cl)cc2)n1CC,410.0,EC50,6.39,Active
CHEMBL3402546,CCc1nnc([C@@H](C)NS(=O)(=O)c2ccc(Cl)cc2)n1CC,250.0,EC50,6.6,Active
CHEMBL5938853,CN(C)CCCCC[C@@H]1CCc2cc([C@H]3CC[C@](N)(COP(=O)(O)O)C3)ccc2C1,550.0,IC50,6.26,Active
CHEMBL5927186,C=CCCCC[C@@H]1CCc2cc([C@H]3CC[C@](N)(COP(=O)(O)O)C3)ccc2C1,55.0,EC50,7.26,Active
CHEMBL6022994,N#Cc1cccc(C(=O)N[C@@H](c2ccc(Cl)cc2)c2ccc(Cl)cn2)c1,5100.0,IC50,5.29,Inactive
CHEMBL5917502,COc1cc(C(=O)N[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(Cl)cn2)ccc1C#N,333.0,IC50,6.48,Active
CHEMBL1935666,CC(C)(C)c1ccc(COc2ccc(CCC3(C(N)=O)COC(=O)N3)cc2)cc1,2720.0,EC50,5.57,Inactive
CHEMBL195025,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc(-c5ccccc5)cc4)n3)cc2)C1,1.7,IC50,8.77,Active
CHEMBL3102904,CCCCCCCCOc1ccc(-c2nnc([C@@](C)(N)COP(=O)(O)O)s2)cc1C(F)(F)F,0.26,EC50,9.59,Active
CHEMBL3102903,CCCCCCCCOc1ccc(-c2cnc([C@@](C)(N)COP(=O)(O)O)s2)cc1C(F)(F)F,0.44,EC50,9.36,Active
CHEMBL2018484,O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)[C@@H]1C[C@@H](Cc2ccccc2)CN1C(=O)Cn1cncn1,6.8,IC50,8.17,Active
CHEMBL2018472,O=C(Cc1cnc[nH]1)N[C@@H](COCc1ccccc1)C(=O)Nc1ccc(Nc2ccccc2)cc1,743.0,IC50,6.13,Active
CHEMBL325408,CCCCCCCCCCCCCCCCNC(=O)[C@@H](N)COP(=O)(O)O.O=C(O)C(F)(F)F,1805.0,EC50,5.74,Inactive
CHEMBL3358904,N#Cc1cc(COc2ccc3[nH]c4c(c3c2)CCC4CC(=O)O)cc(OC(F)(F)F)c1,16.0,EC50,7.8,Active
CHEMBL2178814,Cc1cc(S(=O)(=O)Nc2cccc(-c3cc(C)c(C(=O)N(C)[C@@H](CCN(C)C)C(=O)O)c(C)c3)c2)c(C)cc1Cl,0.67,Kd,9.17,Active
CHEMBL2178815,Cc1cc(S(=O)(=O)Nc2cccc(-c3cc(C)c(C(=O)N(C)[C@H](CCN(C)C)C(=O)O)c(C)c3)c2)c(C)cc1Cl,20.0,IC50,7.7,Active
CHEMBL208875,Cc1cc(CCC(=O)O)ccc1-c1nnc(-c2ccc(OCCF)c(C#N)c2)s1,9.5,EC50,8.02,Active
CHEMBL377767,Cc1cc(CCC(=O)O)ccc1-c1nnc(-c2ccc(OC(C)C)c(C#N)c2)s1,0.2,EC50,9.7,Active
CHEMBL379660,Cc1cc(CCC(=O)O)ccc1-c1csc(-c2ccc(OC(C)C)c(C#N)c2)c1,1200.0,EC50,5.92,Inactive
CHEMBL211081,Cc1cc(CCC(=O)O)ccc1-c1nnc(-c2ccc(OC(C)C)c(C#N)c2)o1,1.1,EC50,8.96,Active
CHEMBL209988,CC(=O)Oc1ccc(-c2nnc(-c3ccc(CCC(=O)O)cc3C)s2)cc1C#N,94.0,EC50,7.03,Active
CHEMBL209536,Cc1cc(CCC(=O)O)ccc1-c1nnc(-c2ccc(OC(C(F)(F)F)C(F)(F)F)c(C#N)c2)s1,38.0,EC50,7.42,Active
CHEMBL334213,CCCCCCCCCCCCCCNCCCP(=O)(O)O,3.7,IC50,8.43,Active
CHEMBL183688,CCCCCCCCCCCCCCC1CC(O)(P(C)(=O)O)CCN1,260.0,IC50,6.58,Active
CHEMBL3770025,CC(C)Oc1ccc(-c2nnc(-n3cc4c(n3)CCNC4)s2)cc1C#N,125.89,EC50,6.9,Active
CHEMBL1979798,CC1CCCCC1N(C(=O)c1cc(C2CC2)on1)C1CCOCC1,3260.0,EC50,5.49,Inactive
CHEMBL1965004,CC1CCCCC1N(C(=O)c1cc(C2CC2)on1)C1CCCCCC1,4700.0,EC50,5.33,Inactive
CHEMBL187692,CCCCCCCCCCCCCC1CCCC(CCP(C)(=O)O)N1,16.0,IC50,7.8,Active
CHEMBL187692,CCCCCCCCCCCCCC1CCCC(CCP(C)(=O)O)N1,4.9,IC50,8.31,Active
CHEMBL3969882,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCC4NC[C@@H](C)O)no2)cc1C#N,0.5,EC50,9.3,Active
CHEMBL3899384,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4N)no2)cc1C#N,0.19,EC50,9.72,Active
CHEMBL3894084,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@H]4NC(=O)CN)no2)cc1C#N,0.05,EC50,10.3,Active
CHEMBL3964002,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@H]4N3CC(O)C3)no2)cc1C#N,0.05,EC50,10.3,Active
CHEMBL3922998,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCC(=O)N(C)C)no2)cc1C#N,0.09,EC50,10.05,Active
CHEMBL3963066,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NS(=O)(=O)C3CC3)no2)cc1C#N,0.05,EC50,10.3,Active
CHEMBL3904131,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NS(=O)(=O)CCN3CCC3)no2)cc1C#N,0.5,EC50,9.3,Active
CHEMBL196534,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc(C5CCCCC5)cc4)n3)cc2)C1,1.4,IC50,8.85,Active
CHEMBL199791,CCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)COP(=O)(O)O,1.0,EC50,9.0,Active
CHEMBL3806205,CCCCCC[C@@H]1CCc2cc([C@H]3CC[C@](N)(COP(=O)(O)O)C3)ccc2C1,0.114,EC50,9.94,Active
CHEMBL3086703,Cc1cc([C@@H](C)Nc2cccc(-c3cc(C)c(C(=O)N[C@@H](C)C(=O)O)c(C)c3)c2)ccc1Cl,2.0,IC50,8.7,Active
CHEMBL1970071,O=C(c1cc(C2CC2)on1)N(C1CCCCC1)C1CCCCC1,33300.0,EC50,4.48,Inactive
CHEMBL1968913,CC(C)c1cc(C(=O)N(C2CCCCC2)C2CCCCC2)no1,22250.0,EC50,4.65,Inactive
CHEMBL1975908,CCCc1cc(C(=O)N(C2CCCCC2)C2CCCC2)no1,23100.0,EC50,4.64,Inactive
CHEMBL3605556,CCn1c([C@@H](C)NS(=O)(=O)c2ccc(C#N)nc2)nc2cnc(OC)cc21,28.0,EC50,7.55,Active
CHEMBL3605532,CCn1c([C@@H](C)NS(=O)(=O)c2ccccc2)nc2ccc(C(F)(F)F)cc21,8.0,EC50,8.1,Active
CHEMBL3402529,CCCn1c(C)nnc1C(Cc1ccccc1)NS(=O)(=O)c1ccc(Cl)cc1,2690.0,EC50,5.57,Inactive
CHEMBL3402535,C=CCC(NS(=O)(=O)c1ccc(Cl)cc1)c1nnc(C)n1CC,2250.0,EC50,5.65,Inactive
CHEMBL3402536,CCCC(NS(=O)(=O)c1ccc(Cl)cc1)c1nnc(C)n1CC,6190.0,EC50,5.21,Inactive
CHEMBL3402537,CCn1c(C)nnc1C(CC1CC1)NS(=O)(=O)c1ccc(Cl)cc1,7690.0,EC50,5.11,Inactive
CHEMBL3402538,CCn1c(C)nnc1C(C)NS(=O)(=O)c1ccc(Cl)cc1,670.0,EC50,6.17,Active
CHEMBL2059663,CCc1c(CCCC(=O)O)cccc1-c1ccc(-c2ccc(OC(C)C)c(C#N)c2)cn1,31.62,EC50,7.5,Active
CHEMBL1938927,CCC(c1ccc2nc(-c3ccc(CN4CC(C(=O)O)C4)cc3F)sc2c1)c1ccccn1,100.0,EC50,7.0,Active
CHEMBL1951154,O=C(O)C1CN(Cc2ccc(-c3noc(-c4ccc(Oc5ccccc5)cc4)n3)s2)C1,1.0,EC50,9.0,Active
CHEMBL187588,CCCCCCCCCCCCCC[C@H]1CC[C@H](CCP(=O)(O)O)N1,6.9,IC50,8.16,Active
CHEMBL184879,CCCCCCCCCc1ccc(C2CCC(CCP(=O)(O)O)N2)cc1,0.16,IC50,9.8,Active
CHEMBL515921,CCCCCCCCOc1ccc(NC(=O)[C@@](C)(N)COP(=O)(O)O)cc1F,0.14,IC50,9.85,Active
CHEMBL474689,CCCCCCCCOc1ccc(-c2c[nH]c([C@@](C)(N)COP(=O)(O)O)n2)cc1,0.26,IC50,9.59,Active
CHEMBL473269,CCCCCCCCOc1ccc(-c2c[nH]c([C@@](C)(N)COP(=O)(O)O)n2)cc1F,0.45,EC50,9.35,Active
CHEMBL3311350,Cc1ccc(CCCC(=O)c2ccc(COC[C@@](C)(N)COP(=O)(O)O)c(F)c2)cc1,2.8,EC50,8.55,Active
CHEMBL3311351,Cc1ccc(CCCC(=O)c2ccc(COC[C@@](C)(N)COP(=O)(O)O)c(Cl)c2)cc1,4.0,EC50,8.4,Active
CHEMBL3358916,CC(C)(C)Cc1ccc(COc2ccc3[nH]c4c(c3c2)CCC4CC(=O)O)cc1C(F)(F)F,55.8,EC50,7.25,Active
CHEMBL3358913,O=C(O)CC1CCc2c1[nH]c1ccc(OCc3ccc(C4CCC4)c(C(F)(F)F)c3)cc21,0.45,EC50,9.35,Active
CHEMBL3358920,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,0.04,EC50,10.4,Active
CHEMBL225155,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)COP(=O)(O)O,0.062,EC50,10.21,Active
CHEMBL3799299,CCNCc1ccc(-c2nc(-c3cc(C)c(OC[C@@H](O)CNC(=O)CO)c(CC)c3)no2)s1,293.0,EC50,6.53,Active
CHEMBL3800430,CCc1cc(-c2noc(-c3cc(C)c(CNCC(C)C)s3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,20.0,EC50,7.7,Active
CHEMBL3800591,CCCCN(C)Cc1sc(-c2nc(-c3cc(C)c(OC[C@@H](O)CNC(=O)CO)c(CC)c3)no2)cc1C,0.7,EC50,9.15,Active
CHEMBL3798060,CCc1cc(-c2noc(-c3cnc(C)c(OC4CCCC4)c3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,21.0,EC50,7.68,Active
CHEMBL3799305,CCc1cc(-c2noc(-c3cc(C)nc(OC(C)C)c3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,0.2,EC50,9.7,Active
CHEMBL3798839,CCc1cc(-c2noc(-c3cc(OC)nc(C4CCCCC4)c3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,7.3,EC50,8.14,Active
CHEMBL3752093,Cc1cc(-c2nnc(-c3cc(F)c(OC[C@H]4COC(=O)N4)cc3Cl)s2)cc(NC(C)C)n1,86.0,EC50,7.07,Active
CHEMBL3753448,Cc1cc(-c2nc(-c3cc(F)c(OC[C@H](N)CO)cc3Cl)no2)cc(CC(C)C)n1,20.0,EC50,7.7,Active
CHEMBL3754799,Cc1cc(-c2nnc(-c3cc(F)c(O[C@@H]4CNC(=O)C4)cc3Cl)s2)cc(NC(C)C)n1,560.0,EC50,6.25,Active
CHEMBL3752660,Cc1nc(CC(C)C)cc(-c2nc(-c3cc(F)c(O[C@@H]4CCC(=O)N(C)C4)cc3Cl)no2)n1,32.0,EC50,7.5,Active
CHEMBL241052,Cc1nc(CCC(=O)O)ccc1-c1noc(-c2ccc(OC(C)C)c(C#N)c2)n1,0.44,EC50,9.36,Active
CHEMBL211505,Cc1cc(CCC(=O)O)ccc1-c1noc(-c2ccc(OC(C)C)c(C#N)c2)n1,0.08,EC50,10.1,Active
CHEMBL391581,Cc1cc([C@@H]2C[C@H]2C(=O)O)ccc1-c1noc(-c2ccc(OC(C)C)c(C#N)c2)n1,0.45,EC50,9.35,Active
CHEMBL3781997,CC(O)Cc1nc(-c2ccc(-c3ccc(CCC(N)(CO)CO)cc3)cc2)co1.Cl,1524.0,EC50,5.82,Inactive
CHEMBL3780541,CCCc1nc(-c2ccc(-c3ccc(CCC(N)(CO)CO)cc3)cc2)co1.Cl,1611.0,EC50,5.79,Inactive
CHEMBL1162057,CCCCOc1ccc(Sc2ccc(-c3ccccc3C(O)C#CCCCCCCCCCCO)cc2S(=O)(=O)O)cc1,80.0,IC50,7.1,Active
CHEMBL277377,CCCCCCCCCCC#CC(O)c1ccccc1-c1ccc(Sc2ccc(OCCCCCC)cc2)c(S(=O)(=O)[O-])c1.[Na+],520.0,IC50,6.28,Active
CHEMBL239653,CCCCCCCCCCC#CC(O)c1ccccc1-c1ccc(Sc2ccc(OCC)cc2)c(S(=O)(=O)[O-])c1.[Na+],400.0,IC50,6.4,Active
CHEMBL240078,CCCCCCCCCCC#CC(O)c1ccc(-c2ccc(Oc3ccc(OCC)cc3)c(S(=O)(=O)[O-])c2)s1.[Na+],5500.0,IC50,5.26,Inactive
CHEMBL239659,CCCCCCCCCCC#CC(O)c1ccccc1-c1ccc(Sc2ccc(OCCCC)cc2)c(S(=O)(=O)[O-])c1.[Na+],1000.0,IC50,6.0,Active
CHEMBL2178813,Cc1cc(S(=O)(=O)Nc2cccc(-c3cc(C)c(C(=O)N[C@@H](CCN(C)C)C(=O)O)c(C)c3)c2)c(C)cc1Cl,12.0,IC50,7.92,Active
CHEMBL2178811,Cc1cc(S(=O)(=O)Nc2cccc(-c3cc(C)c(C(=O)N(C)[C@@H](CN(C)C)C(=O)O)c(C)c3)c2)c(C)cc1Cl,8.4,IC50,8.08,Active
CHEMBL3770302,CC(C)Oc1ccc(-c2nnc(-c3cncn3C)s2)cc1Cl,63.1,EC50,7.2,Active
CHEMBL3799148,CCCCN(C)Cc1cc(-c2nc(-c3cc(C)c(OC[C@@H](O)CNC(=O)CO)c(CC)c3)no2)cc(C)n1,4.3,EC50,8.37,Active
CHEMBL183888,CCCCCCCCc1ccc2[nH]c([C@@H](N)[C@@H](C)O)nc2c1.O=C(O)C(F)(F)F,2900.0,EC50,5.54,Inactive
CHEMBL183894,CCCCCCCCc1ccc2[nH]c([C@@H](N)[C@@H](C)OP(=O)(O)O)nc2c1.O=C(O)C(F)(F)F,240.0,EC50,6.62,Active
CHEMBL3359844,CC(C)Oc1ccc(-c2nc(-c3cccc4c3OCCN(CCCC(=O)O)C4)no2)cc1Cl,39.81,EC50,7.4,Active
CHEMBL3359841,CC(C)Oc1ccc(-c2nc(-c3ccc4c(c3)CN(CCCC(=O)O)CCO4)no2)cc1C#N,63.1,EC50,7.2,Active
CHEMBL3360375,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCCNC4)no2)cc1Cl,630.96,EC50,6.2,Active
CHEMBL3741589,O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1,362.0,IC50,6.44,Active
CHEMBL119354,CCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1Br,0.4,IC50,9.4,Active
CHEMBL333335,CCCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1,0.3,IC50,9.52,Active
CHEMBL119440,CCCCCCCCOc1c(C)cc(CNCCCP(=O)(O)O)cc1C,0.4,IC50,9.4,Active
CHEMBL1951151,CCCOc1ccc(-c2nc(-c3csc(CN4CC(C(=O)O)C4)c3)no2)cc1,60.0,EC50,7.22,Active
CHEMBL1951310,CCc1cc(CN2CC(C(=O)O)C2)sc1-c1noc(-c2ccc(Oc3ccccc3Cl)cc2)n1,6.5,EC50,8.19,Active
CHEMBL1951313,CCc1ccccc1Oc1ccc(-c2nc(-c3sc(CN4CC(C(=O)O)C4)cc3CC)no2)cc1,6.5,EC50,8.19,Active
CHEMBL1951319,CCc1cc(CN2CC(C(=O)O)C2)sc1-c1noc(-c2ccc(Oc3ccccc3)c(C)c2)n1,7.5,EC50,8.12,Active
CHEMBL190006,CCCCCCCCc1ccc(CC[C@@](N)(CO)COP(=O)(O)O)cc1,21.8,EC50,7.66,Active
CHEMBL118783,CCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC,13.0,IC50,7.89,Active
CHEMBL1467763,CNC(=O)c1[nH]cnc1C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,3130.0,EC50,5.5,Inactive
CHEMBL1531320,O=C(NCc1ccco1)c1cc2ccc(O)cc2oc1=O,5050.0,EC50,5.3,Inactive
CHEMBL358644,NC(=S)c1cc2ccc(O)cc2oc1=O,52900.0,EC50,4.28,Inactive
CHEMBL397080,CCCCOc1ccc(Sc2ccc(-c3ccccc3C(O)C#CCOCCCCCO)cc2S(=O)(=O)[O-])cc1.[Na+],340.0,IC50,6.47,Active
CHEMBL429810,CCCCCCCCCCC#CC(O)c1sccc1-c1ccc(Oc2ccc(OCC)cc2)c(S(=O)(=O)[O-])c1.[Na+],1300.0,IC50,5.89,Inactive
CHEMBL2017805,COc1ccccc1C(=O)NC(=O)Nc1ccc(N2CCCCC2)c(C(F)(F)F)c1,13.0,EC50,7.89,Active
CHEMBL2017808,COc1ccccc1C(=O)NC(=O)Nc1ccc(-c2ccccn2)c(C(F)(F)F)c1,13.0,EC50,7.89,Active
CHEMBL2207782,CCN(C(=O)c1ccccc1F)c1nnc(-c2ccc(CN3CC(C(=O)O)C3)cc2)s1,44.0,EC50,7.36,Active
CHEMBL1938941,Cn1cc(C(=O)Nc2ccc(-c3ccccc3)c(C(F)(F)F)c2)c(=O)c2ccncc21,29.0,EC50,7.54,Active
CHEMBL1938939,Cn1cc(C(=O)Nc2ccc(-c3ccccc3)c(C(F)(F)F)c2)c(=O)c2ncccc21,4100.0,EC50,5.39,Inactive
CHEMBL1797505,O=C(O)C1CCN(C/C=C/c2ccc(OCCCc3ccccc3)cc2)CC1,2400.0,EC50,5.62,Inactive
CHEMBL1442207,COc1cccc(C2CN(c3ccc(F)cc3F)N=C2c2cccs2)c1OC,7490.0,EC50,5.13,Inactive
CHEMBL4065407,CC1=C(CN2CC(C(=O)O)C2)CCc2cc(OCCC3CCCc4ccccc43)ccc21,97.0,EC50,7.01,Active
CHEMBL1962532,CC1=C(CN2CC(C(=O)O)C2)CCc2cc(OCCCc3ccccc3)ccc21,3.0,EC50,8.52,Active
CHEMBL474689,CCCCCCCCOc1ccc(-c2c[nH]c([C@@](C)(N)COP(=O)(O)O)n2)cc1,0.55,EC50,9.26,Active
CHEMBL473269,CCCCCCCCOc1ccc(-c2c[nH]c([C@@](C)(N)COP(=O)(O)O)n2)cc1F,0.35,IC50,9.46,Active
CHEMBL3605551,CCn1c([C@@H](C)NS(=O)(=O)c2cnc(NC(C)=O)s2)nc2ccc(C(F)(F)F)cc21,2200.0,EC50,5.66,Inactive
CHEMBL119116,CCCCCCCCOc1c(Cl)cc(CNCCCP(=O)(O)O)cc1Cl,0.6,IC50,9.22,Active
CHEMBL1569585,C=C1C(=O)C=C2CN(C(=O)c3ccccc3)[C@@](Cc3ccc(F)cc3)(C(=O)OC)[C@@H]12,11970.0,IC50,4.92,Inactive
CHEMBL1651700,CCCCc1ccc2oc(-c3ccc(CN4CC(C(=O)O)C4)cc3)cc2c1,350.0,EC50,6.46,Active
CHEMBL1651703,O=C(O)C1CN(Cc2ccc(-c3cc4cc(C5CCCCC5)ccc4o3)cc2)C1,600.0,EC50,6.22,Active
CHEMBL1651708,O=C(O)C1CN(Cc2ccc(-c3cc4cc(N5CCCCC5)ccc4o3)cc2)C1,1500.0,EC50,5.82,Inactive
CHEMBL1683046,C/C(=C\c1ccc(OCCCc2ccccc2)cc1)CNCCC(=O)O,33.0,EC50,7.48,Active
CHEMBL1683045,O=C(O)CCNC/C=C/c1ccc(OCCCc2ccccc2)cc1,70.0,EC50,7.16,Active
CHEMBL1651715,O=C(O)C1CN(Cc2ccc(-c3cc4cc(C5CCCCC5)ccc4o3)nc2)C1,720.0,EC50,6.14,Active
CHEMBL1340619,Cc1ccc(C)c(C(=O)Cn2ncc(Cl)c(Cl)c2=O)c1,12110.0,IC50,4.92,Inactive
CHEMBL399392,CCCCCCCCCCC#CC(O)c1ccccc1-c1ccc(Oc2ccccc2OCC)c(S(=O)(=O)[O-])c1.[Na+],8900.0,IC50,5.05,Inactive
CHEMBL239874,CCCCCCCCCCC#CC(N)c1ccccc1-c1ccc(Sc2ccc(OCCCC)cc2)c(S(=O)(=O)[O-])c1.[Na+],370.0,IC50,6.43,Active
CHEMBL208924,Cc1cc(CCC(=O)O)ccc1-c1noc(-c2ccc(OC(C)C)c(C(F)(F)F)c2)n1,0.08,EC50,10.1,Active
CHEMBL3917907,Cc1cc(-c2nc(-c3ccc4c(c3)CCC(N)(CO)C4)no2)ccc1OC(C)C,749.0,IC50,6.13,Active
CHEMBL3908980,Cc1cc(-c2cn(-c3ccc4c(c3)CCC(N)(CO)C4)nn2)ccc1OC(C)C,125.0,IC50,6.9,Active
CHEMBL1951148,O=C(O)C1CN(Cc2cc(-c3noc(-c4cccc(-c5ccccc5)c4)n3)cs2)C1,850.0,EC50,6.07,Active
CHEMBL1412583,CCOC(=O)/C(=C\c1ccc(OC(F)F)cc1)C1=Nn2c(nnc2-c2ccc(Cl)cc2)SC1,6099.0,IC50,5.21,Inactive
CHEMBL2037118,Cn1cc(C(=O)Nc2ccc(-c3ccccc3)c(C(F)(F)F)c2)c(=O)c2cccc(CO)c21,39.0,EC50,7.41,Active
CHEMBL2037121,Cn1cc(C(=O)Nc2ccc(-c3ccccc3)c(C(F)(F)F)c2)c(=O)c2cccc(CCO)c21,390.0,EC50,6.41,Active
CHEMBL2037127,Cn1cc(C(=O)Nc2ccc(-c3ccccc3)c(C(F)(F)F)c2)c(=O)c2ccc(CC(=O)O)cc21,180.0,EC50,6.75,Active
CHEMBL119233,CCCCCCCc1ccc(CCCNCCCP(=O)(O)O)cc1,5.3,IC50,8.28,Active
CHEMBL3754653,Cc1cc(-c2nc(-c3cc(F)c(O[C@H]4COC[C@H]4O)cc3Cl)no2)cc(NC(C)C)n1,0.8,EC50,9.1,Active
CHEMBL3753059,Cc1cc(-c2nc(-c3ccc(OC[C@H]4COC(=O)N4)cc3)no2)cc(NC(C)C)n1,2.8,EC50,8.55,Active
CHEMBL3753282,Cc1cc(-c2nc(-c3ccc(OC[C@H]4COC(=O)N4)c(C)n3)no2)cc(NC(C)C)n1,7.9,EC50,8.1,Active
CHEMBL3753300,Cc1cc(-c2nc(-c3cc(C)c(OC[C@@H]4CCC(=O)N4)c(C)n3)no2)cc(CC(C)C)n1,11.0,EC50,7.96,Active
CHEMBL3126626,CCc1cc(-c2noc(-c3ccc(CC(C)C)s3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,0.7,EC50,9.15,Active
CHEMBL3771092,CC(C)Oc1ccc(-c2nnc(-c3ccccc3)s2)cc1Cl,251.19,EC50,6.6,Active
CHEMBL115714,CCCCCCCCc1ccc(CC[C@H](N)C[C@H](O)P(=O)(O)O)cc1,17.0,IC50,7.77,Active
CHEMBL2011713,CCCCN(C(=O)c1cccc(Cl)c1)c1nnc(-c2cccnc2)s1,794.33,EC50,6.1,Active
CHEMBL2011716,CCCCN(C(=O)c1cccc(C)c1)c1nnc(-c2cccnc2)s1,630.96,EC50,6.2,Active
CHEMBL2011733,CCCCN(C(=O)c1ccc(C(F)(F)F)cc1)c1nnc(-c2cccc(CN3CCNCC3)c2)s1,3981.07,EC50,5.4,Inactive
CHEMBL2010813,CCCCN(C(=O)c1ccc(C(F)(F)F)cc1)c1nnc(-c2cccc3c2c(Cl)cn3CCC(=O)O)s1,1.585,EC50,8.8,Active
CHEMBL3402539,CCc1nnc(C(Cc2ccccc2)NS(=O)(=O)c2ccc(Cl)cc2)o1,15200.0,EC50,4.82,Inactive
CHEMBL3402542,CCc1onc(C(C)NS(=O)(=O)c2ccc(Cl)cc2)c1CC,3030.0,EC50,5.52,Inactive
CHEMBL3402544,CCc1[nH]nc(C(C)NS(=O)(=O)c2ccc(Cl)cc2)c1CC,310.0,EC50,6.51,Active
CHEMBL2018457,O=C(CCCC(=O)c1cccs1)NC(CNc1ccc(Oc2ccccc2)cc1)COCc1ccccc1,286.0,IC50,6.54,Active
CHEMBL2018478,CN(C(=O)[C@H](COCc1ccccc1)NC(=O)Cc1cnc[nH]1)c1ccc(Oc2ccccc2)cc1,8281.0,IC50,5.08,Inactive
CHEMBL2018486,O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)[C@@H]1C[C@H](Cc2ccc(F)cc2)CN1C(=O)Cn1cncn1,48.0,IC50,7.32,Active
CHEMBL601701,Cc1nn(C(=O)/C=C/c2ccc(S(N)(=O)=O)cc2)c2c1[C@H]1[C@@H](C2)C1(C)C,119.0,EC50,6.92,Active
CHEMBL474418,C[C@](N)(COP(=O)(O)O)c1nc(-c2ccc(OCCc3ccc(-c4ccccc4)cc3)cc2)c[nH]1,7.7,IC50,8.11,Active
CHEMBL473156,C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCCCCc2ccccc2)cc1,2.9,EC50,8.54,Active
CHEMBL2018176,CC(C)Oc1ccc(-c2nc(-c3cccc4c(CCC(=O)O)c[nH]c34)no2)cc1Cl,0.01259,EC50,10.9,Active
CHEMBL2018330,CC(C)Oc1ccc(-c2nc(-c3c(F)ccc4c(CCC(=O)O)cn(C)c34)no2)cc1Cl,25.12,EC50,7.6,Active
CHEMBL3358920,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,1.88,IC50,8.73,Active
CHEMBL2018310,COc1ccc(-c2nc(-c3cccc4c(CCC(=O)O)c[nH]c34)no2)cc1OC,1258.93,EC50,5.9,Inactive
CHEMBL2018317,CC(C)Oc1ccc(-c2nc(-c3cccc4c(CC(=O)O)c[nH]c34)no2)cc1Cl,39.81,EC50,7.4,Active
CHEMBL2018321,CNC(=O)CCc1c[nH]c2c(-c3noc(-c4ccc(OC(C)C)c(Cl)c4)n3)cccc12,0.03981,EC50,10.4,Active
CHEMBL2018325,CCCn1cc(CCC(=O)O)c2cccc(-c3noc(-c4ccc(OC(C)C)c(Cl)c4)n3)c21,199.53,EC50,6.7,Active
CHEMBL2018326,CC(C)Oc1ccc(-c2nc(-c3cccc4c(CCC(=O)O)cn(C(C)C)c34)no2)cc1Cl,19.95,EC50,7.7,Active
