Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3,MorganFingerprint,Predicted_Prob,Predicted_Activity
HQP1351,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,532.5700000000002,4.684620000000004,2.0,5.0,5.0,4.0,39.0,10.0,4.0,77.15,0.2758620689655172,[0 0 0 ... 0 0 0],0.7566666666666666,1
Nicotinamide Mononucleotide,NC(=O)c1ccc[n+]([C@@H]2O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c1,335.229,-2.1984999999999992,5.0,6.0,2.0,5.0,22.0,11.0,1.0,163.42,0.4545454545454545,[0 0 0 ... 0 0 0],0.7565833333333333,1
Tegobuvir,Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1,517.408,6.731900000000005,0.0,5.0,5.0,4.0,37.0,12.0,3.0,56.49,0.12,[0 1 0 ... 0 0 0],0.75625,1
"4-{[(1R,2S)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile",C[C@](O)(COc1ccc([N+](=O)[O-])cc1)[C@@H](O)Nc1ccc(C#N)c(C(F)(F)F)c1,411.33600000000007,3.045580000000001,3.0,7.0,2.0,7.0,29.0,11.0,2.0,128.65,0.2777777777777778,[0 1 0 ... 0 0 0],0.755625,1
RU82209,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,613.5980000000003,4.325300000000003,4.0,4.0,4.0,10.0,43.0,12.0,3.0,136.04000000000002,0.3225806451612903,[0 1 0 ... 0 0 0],0.7555952380952382,1
Indole-3-Propanol Phosphate,O=P(O)(O)OCCCc1c[nH]c2ccccc12,255.21,2.2097999999999995,3.0,2.0,2.0,5.0,17.0,6.0,2.0,82.55000000000001,0.2727272727272727,[0 0 0 ... 0 0 0],0.7555952380952381,1
N-Bromoacetyl-Aminoethyl Phosphate,CC(=O)N(Br)CCOP(=O)(O)O,261.9959999999999,0.2541,2.0,3.0,0.0,4.0,12.0,8.0,0.0,87.07000000000001,0.75,[0 0 0 ... 0 0 0],0.7555555555555555,1
N-Pyridoxyl-Glycine-5-Monophosphate,Cc1ncc(COP(=O)(O)O)c(CNCC(=O)O)c1O,306.211,-0.12088,5.0,6.0,1.0,7.0,20.0,10.0,1.0,149.20999999999998,0.4,[0 0 0 ... 0 0 0],0.7554166666666667,1
"3,4-Dihydro-2'-deoxyuridine-5'-monophosphate",O=C1N[C@H](O)C=CN1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,310.199,-1.5711,5.0,6.0,2.0,4.0,20.0,11.0,0.0,148.79,0.6666666666666666,[0 0 0 ... 0 0 0],0.7550952380952382,1
ETC-588,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,760.0909999999992,11.167999999999992,0.0,8.0,0.0,39.0,52.0,10.0,0.0,111.19,0.9047619047619048,[0 1 0 ... 0 0 0],0.755,1
Giripladib,O=C(O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccccc3C(F)(F)F)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1,745.263,9.486799999999995,2.0,4.0,6.0,14.0,52.0,11.0,6.0,88.4,0.1951219512195122,[0 1 0 ... 0 0 0],0.755,1
Tiagabine,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,375.5590000000001,5.044840000000004,1.0,4.0,3.0,6.0,25.0,5.0,2.0,40.540000000000006,0.45,[0 0 0 ... 1 0 0],0.755,1
GDC-0349,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(C2COC2)C3)cc1,452.5590000000003,2.2670000000000003,2.0,7.0,5.0,5.0,33.0,9.0,2.0,91.85,0.5416666666666666,[0 0 0 ... 0 0 0],0.7548333333333334,1
Fasentin,CC(=O)CC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,279.645,3.2764000000000015,1.0,2.0,1.0,3.0,18.0,7.0,1.0,46.17,0.2727272727272727,[0 0 0 ... 0 0 0],0.7546666666666667,1
3'-THIO-THYMIDINE-5'-PHOSPHATE,Cc1cn([C@H]2C[C@H](S)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,338.2780000000001,-0.4597800000000001,4.0,7.0,2.0,4.0,21.0,11.0,1.0,130.85,0.6,[0 0 0 ... 0 0 0],0.7545833333333334,1
Pyridoxamine-5'-Phosphate,Cc1ncc(COP(=O)(O)O)c(CN)c1O,248.175,0.16362,4.0,5.0,1.0,4.0,16.0,8.0,1.0,125.9,0.375,[0 0 0 ... 0 0 0],0.7529166666666667,1
Benfotiamine,C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,466.45600000000024,2.630119999999999,3.0,8.0,2.0,10.0,31.0,12.0,2.0,155.94000000000003,0.2631578947368421,[0 0 0 ... 0 0 0],0.7526388888888889,1
Fanapanel,O=c1[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2n(CP(=O)(O)O)c1=O,409.25700000000006,0.6803999999999997,3.0,6.0,3.0,3.0,27.0,13.0,2.0,124.86,0.4285714285714285,[0 0 0 ... 0 0 0],0.7523214285714286,1
Ethyl Dihydrogen Diphosphate,CCO[P@@](=O)(O)OP(=O)(O)O,206.027,0.2325999999999999,3.0,4.0,0.0,4.0,11.0,9.0,0.0,113.29000000000002,1.0,[0 0 0 ... 0 0 0],0.75125,1
APT-101,O=C(O)C[C@H](CCN1CCCC(F)(F)C1)NC(=O)c1cc(-c2ccccc2C(F)(F)F)n(C2CCCC2)n1,542.549,5.378300000000005,2.0,5.0,4.0,9.0,38.0,12.0,2.0,87.46,0.5769230769230769,[0 1 0 ... 0 0 0],0.7511538461538462,1
PF-06882961,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,555.6100000000004,4.887780000000004,1.0,8.0,6.0,9.0,41.0,10.0,4.0,113.5,0.3548387096774194,[0 0 0 ... 0 0 0],0.7508333333333332,1
ABT-737,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],813.4460000000001,7.880600000000009,2.0,10.0,6.0,16.0,56.0,14.0,5.0,128.13,0.2619047619047619,[0 1 0 ... 0 0 0],0.7508333333333332,1
Tridecactide,CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)C,1623.8610000000003,-4.114930000000001,23.0,22.0,6.0,49.0,115.0,40.0,5.0,634.11,0.4933333333333333,[1 1 0 ... 0 0 0],0.75075,1
Lurbinectedin,COc1ccc2[nH]c3c(c2c1)CCN[C@]31CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4,784.8880000000001,4.188940000000003,4.0,14.0,11.0,3.0,56.0,15.0,4.0,164.28,0.4634146341463415,[0 1 0 ... 0 1 0],0.75,1
Trabectedin,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H]2[C@H]2c3c(cc(C)c(OC)c3O)C[C@@H]([C@@H]1O)N2C)OCO4,761.8500000000001,3.413240000000002,4.0,15.0,10.0,3.0,54.0,15.0,3.0,168.72,0.4871794871794871,[0 1 0 ... 0 1 0],0.75,1
Muparfostat,O=P(O)(O)OCC1OC(OC2C(OS(=O)(=O)O)C(COS(=O)(=O)O)OC(OC3C(OS(=O)(=O)O)OC(COS(=O)(=O)O)C(OS(=O)(=O)O)C3OS(=O)(=O)O)C2OS(=O)(=O)O)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O,1385.0570000000012,-9.185000000000011,12.0,37.0,3.0,29.0,78.0,60.0,0.0,748.9100000000005,1.0,[0 0 0 ... 0 0 0],0.7495238095238095,1
Cardiopet,CCCCCCCCC([18F])CCCC[C@@H]1C[C@H]1CC(=O)O,299.46093799999994,5.746300000000005,1.0,1.0,1.0,14.0,21.0,3.0,0.0,37.3,0.9444444444444444,[0 1 0 ... 0 0 0],0.7495,1
Propanoyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,823.6050000000002,-0.9252999999999963,9.0,19.0,3.0,20.0,52.0,28.0,2.0,363.63000000000005,0.6666666666666666,[0 1 0 ... 0 0 0],0.7491666666666665,1
ISO24,CCc1ccc(NC(=O)P(=O)(O)O)cc1,229.172,1.9585999999999992,3.0,2.0,1.0,3.0,15.0,6.0,1.0,86.63000000000001,0.2222222222222222,[0 0 0 ... 0 0 0],0.74875,1
AICA ribonucleotide,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N,338.213,-2.7072999999999987,6.0,9.0,2.0,5.0,22.0,13.0,1.0,203.38,0.5555555555555556,[0 0 0 ... 0 0 0],0.74875,1
Rimiducid,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)NCCNC(=O)COc2cccc([C@@H](CCc3ccc(OC)c(OC)c3)OC(=O)[C@@H]3CCCCN3C(=O)[C@@H](CC)c3cc(OC)c(OC)c(OC)c3)c2)c1)c1cc(OC)c(OC)c(OC)c1,1411.6499999999985,11.046799999999992,2.0,20.0,8.0,37.0,102.0,24.0,6.0,262.1799999999999,0.4615384615384615,[0 1 0 ... 0 0 0],0.7482559523809524,1
