Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3,MorganFingerprint,Predicted_Prob,Predicted_Activity
Tyropanoic acid,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I,641.0250000000002,4.892300000000003,2.0,2.0,1.0,7.0,22.0,7.0,1.0,66.4,0.4666666666666667,[0 1 0 ... 0 0 0],0.6025,1
Balanol,O=C(N[C@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1,550.5200000000003,2.145599999999999,7.0,10.0,4.0,7.0,40.0,12.0,3.0,202.72,0.21428571428571427,[0 0 0 ... 0 0 0],0.6025,1
Nicotinamide-adenine-dinucleotide-5-hydroxy-4-oxonorvaline,NC(=O)c1c[n+]([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)ccc1[C@H](O)C(=O)C[C@H](N)C(=O)O,809.5520000000005,-4.61139999999999,11.0,21.0,5.0,16.0,54.0,28.0,3.0,418.88000000000005,0.5,[0 1 0 ... 0 0 0],0.6025,1
"3-Aza-2,3-Dihydrogeranyl Diphosphate",CC(C)=CCCN(C)CCO[P@@](=O)([O-])OP(=O)([O-])[O-],314.19100000000003,-0.39519999999999955,0.0,8.0,0.0,9.0,19.0,10.0,0.0,125.02000000000001,0.7777777777777778,[0 0 0 ... 0 0 0],0.6024285714285714,1
Nesvategrast,O=C(O)C[C@@H](c1ccc(OC(F)F)nc1)N1CCN(CCCc2ccc3c(n2)NCCC3)C1=O,475.4960000000004,3.322300000000002,2.0,6.0,4.0,10.0,34.0,11.0,2.0,107.89000000000001,0.4782608695652174,[0 1 0 ... 0 0 0],0.6023809523809525,1
Dusquetide,CC[C@H](C)C(NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(N)=O)C(C)C,553.7090000000003,-1.7703299999999946,8.0,7.0,1.0,15.0,39.0,14.0,0.0,238.62,0.76,[0 1 0 ... 0 0 0],0.6023353174603174,1
Xevinapant,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,561.7270000000001,2.622900000000003,3.0,5.0,4.0,9.0,41.0,9.0,2.0,110.85,0.5,[0 1 0 ... 1 0 0],0.6022916666666667,1
Ozarelix,[H]/N=C(\N)NCCC[C@H](NC(=O)[C@H](CCCC)NC(=O)[C@@H](CCCCNC(N)=O)NC(=O)[C@H](Cc1ccc(O)cc1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,1459.1180000000002,0.370269999999986,16.0,16.0,6.0,40.0,104.0,32.0,5.0,486.87999999999977,0.4444444444444444,[0 1 0 ... 0 0 0],0.6022222222222222,1
Safingol,CCCCCCCCCCCCCCC[C@H](O)[C@@H](N)CO,301.515,4.148200000000003,3.0,3.0,0.0,16.0,21.0,3.0,0.0,66.48,1.0,[0 1 0 ... 0 0 0],0.6021666666666667,1
Aldoxorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(CO)=N/NC(=O)CCCCCN1C(=O)C=CC1=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,750.7580000000003,0.38980000000000187,7.0,15.0,6.0,12.0,54.0,17.0,2.0,267.84000000000003,0.4594594594594595,[0 0 0 ... 0 0 0],0.6021666666666667,1
Carnosine,NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,226.23600000000002,-1.1295999999999988,4.0,4.0,1.0,6.0,16.0,7.0,1.0,121.10000000000001,0.4444444444444444,[0 1 0 ... 0 0 0],0.6021666666666667,1
"(3,4,8b-Trimethyl-3-oxido-2,3a-dihydro-1H-pyrrolo[2,3-b]indol-3-ium-7-yl) N-(2-ethylphenyl)carbamate",CCc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CC[N+](C)([O-])C1N2C,381.47600000000017,4.241600000000004,1.0,4.0,4.0,3.0,28.0,6.0,2.0,64.63,0.4090909090909091,[0 0 0 ... 0 0 0],0.602125,1
Fluralaner,Cc1cc(C2=NOC(c3cc(Cl)cc(Cl)c3)(C(F)(F)F)C2)ccc1C(=O)NCC(=O)NCC(F)(F)F,556.2900000000004,5.292320000000003,2.0,4.0,3.0,6.0,36.0,14.0,2.0,79.78999999999999,0.3181818181818182,[0 0 0 ... 0 0 0],0.6020833333333333,1
LSZ-102,CC(F)(F)c1cc(F)ccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,470.4680000000002,7.414800000000006,2.0,4.0,4.0,6.0,33.0,8.0,4.0,66.76,0.08,[0 0 0 ... 0 0 0],0.6020833333333333,1
Mosedipimod,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(COC(C)=O)COC(=O)CCCCCCCCCCCCCCC,634.9829999999998,11.29929999999999,0.0,6.0,0.0,33.0,45.0,6.0,0.0,78.9,0.8205128205128205,[0 1 0 ... 0 0 0],0.602,1
Tocopheryl nicotinate,Cc1c(C)c2c(c(C)c1OC(=O)c1cccnc1)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,535.8130000000006,9.748859999999997,0.0,4.0,3.0,14.0,39.0,4.0,2.0,48.42,0.6571428571428571,[0 1 0 ... 0 0 0],0.6019444444444444,1
PNU177836,CCCCCN[C@H](O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)N[C@@H](O)[C@H](Cc1ccccc1)N[C@@H](O)OC(C)(C)C,605.7290000000002,2.057400000000003,8.0,10.0,2.0,20.0,43.0,12.0,2.0,189.83999999999995,0.5483870967741935,[0 1 0 ... 0 0 0],0.601875,1
Acemetacin,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,415.82900000000006,3.4705200000000014,1.0,6.0,3.0,6.0,29.0,8.0,3.0,94.82999999999998,0.19047619047619047,[0 0 0 ... 0 0 0],0.6018333333333333,1
"(2R)-2-{(1R)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid",O=C[C@@H](NC(=O)Cc1cccs1)[C@@H]1N=C(C(=O)O)CCS1,326.3990000000001,0.9628999999999994,2.0,6.0,2.0,6.0,21.0,8.0,1.0,95.83,0.38461538461538464,[0 1 0 ... 0 0 0],0.6018181818181819,1
Ginsenoside C,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,1079.2810000000002,-1.5634999999999817,14.0,22.0,8.0,15.0,75.0,22.0,0.0,357.06000000000006,0.9622641509433962,[0 0 0 ... 0 0 0],0.6016666666666667,1
Acoziborole,CC1(C)OB(O)c2cc(NC(=O)c3ccc(F)cc3C(F)(F)F)ccc21,367.107,3.0496000000000008,2.0,3.0,3.0,2.0,26.0,9.0,2.0,58.56,0.23529411764705882,[0 0 0 ... 0 0 0],0.6016666666666667,1
"4-O-(4,6-Dideoxy-4-{[4-[(4-O-Hexopyranosylhexopyranosyl)Oxy]-5,6-Dihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}Hexopyranosyl)Hexopyranose",C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,807.7490000000007,-10.740300000000019,17.0,24.0,5.0,12.0,55.0,24.0,0.0,400.32000000000005,0.9354838709677419,[0 0 0 ... 0 0 0],0.6016666666666667,1
Presatovir,Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CC[C@H](N)C1,532.07,2.9674200000000006,2.0,8.0,5.0,5.0,36.0,12.0,3.0,125.92999999999999,0.4583333333333333,[0 0 0 ... 0 0 0],0.6016666666666667,1
NEO-212,C=C(C)[C@@H]1CC=C(COC(=O)NC(=O)c2ncn3c(=O)n(C)nnc23)CC1,372.38500000000016,0.9919999999999998,1.0,9.0,3.0,4.0,27.0,10.0,2.0,120.47999999999999,0.4117647058823529,[0 0 0 ... 1 1 0],0.6016666666666667,1
"4,6-DIDEOXY-4-{[4-[(4-O-HEXOPYRANOSYLHEXOPYRANOSYL)OXY]-5,6-DIHYDROXY-3-(HYDROXYMETHYL)CYCLOHEX-2-EN-1-YL]AMINO}HEXOPYRANOSYL-(1->4)HEXOPYRANOSYL-(1->4)HEXOPYRANOSE",C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,969.8900000000008,-12.916100000000025,20.0,29.0,6.0,15.0,66.0,29.0,0.0,479.4700000000002,0.9459459459459459,[0 0 0 ... 0 0 0],0.6016666666666667,1
