Ligand,Best_Affinity
409_Ethyl__4R__4____2R_5S__2__4_fluorobenzyl__6_methyl_5____5_methyl_1_2_oxazol_3_yl_carbonyl_amino__4_oxoheptanoyl_amino__5___3S__2_oxo_3_pyrrolidinyl_pentanoate.pdbqt,-8.35
411_Burixafor.pdbqt,-8.122
412_Glucosamine_4_Phosphate.pdbqt,-5.335
413_Psilocybin.pdbqt,-6.743
414_RU85493.pdbqt,-7.827
415_Halofantrine.pdbqt,-7.055
416_VK_0214.pdbqt,-9.425
418_Lasalocid.pdbqt,-8.971
419_Glycerol_2_phosphate.pdbqt,-4.151
420_Amifostine.pdbqt,-4.516
421_Mocravimod.pdbqt,-9.081
422_2___3_Hydroxy_2_Methyl_5_Phosphonooxymethyl_Pyridin_4_Ylmethyl__Imino__5_Phosphono_Pent_3_Enoic_Acid.pdbqt,-5.773
423__2S__2_hydroxy_2_methyl_N__4_nitro_3__trifluoromethyl_phenyl__3__pentafluorophenoxy_propanamide.pdbqt,-10.034
424_Uridine_5__Diphosphate_N_Acetylmuramoyl_L_Alanine.pdbqt,-6.925
425_N__3___1_Aminoethyl__Hydroxy_Phosphoryl__2__1_1__Biphenyl_4_Ylmethyl_Propanoyl_Alanine.pdbqt,-9.077
426__R__carnitinyl_CoA_betaine.pdbqt,-2.552
427_2__deoxy_5__hydroxymethyl_uridine_5___dihydrogen_phosphate_.pdbqt,-6.71
428__3s__3_4_Di_N_Hexanoyloxybutyl_1_Phosphocholine.pdbqt,-6.725
429__3__3__3_4_Dimethoxy_Phenyl__1__1__1__2__3_4_5_Trimethoxy_Phenyl__Butyryl__Piperidin_2yl__Vinyloxy__Propyl__Phenoxy__Acetic_Acid.pdbqt,-6.262
430_JNJ_28330835.pdbqt,-9.611
431_RAD_140.pdbqt,-8.693
433_Vocacapsaicin.pdbqt,-8.769
434_4_Amino_N__4__2__2_6_Dimethyl_Phenoxy__Acetylamino__3_Hydroxy_1_Isobutyl_5_Phenyl_Pentyl__Benzamide.pdbqt,-8.173
435_Travoprost.pdbqt,-8.265
436_Bimosiamose.pdbqt,-4.515
437_2_Dimethylamino_Ethyl_Diphosphate.pdbqt,-4.77
438_Cefilavancin.pdbqt,317551.158
439_Vancomycin.pdbqt,1208517.586
440_Tedizolid.pdbqt,-9.755
441_Sorafenib.pdbqt,-10.638
442_Desulfo_coenzyme_A.pdbqt,-6.521
443_Sodelglitazar.pdbqt,-9.391
444_Phosphoaspartate.pdbqt,-5.019
445_Acetoacetyl_CoA.pdbqt,-5.417
446_Angiotensin_1_7.pdbqt,4.438
447_CoA_S_trimethylene_acetyl_tryptamine.pdbqt,-1.947
448_beta_D_fructofuranose_1_6_bisphosphate.pdbqt,-5.641
449_Alpha_Ribazole_5__Phosphate_Derivative.pdbqt,-7.173
450_Vipoglanstat.pdbqt,-9.952
451_Triciribine_phosphate.pdbqt,-7.498
452__1__4_Fluorobenzyl_Cyclobutyl_Methyl__1s__1__Oxo_1h_Pyrazol_5_Ylamino_Acetyl_Pentylcarbamate.pdbqt,-8.233
453_Fluprostenol.pdbqt,-8.532
455_LFA703.pdbqt,-8.571
460_Vutiglabridin.pdbqt,-9.906
461_Gallium_68_PSMA.pdbqt,-2.538
463_Ponatinib.pdbqt,-10.677
464_Zamicastat.pdbqt,-8.485
466__3___3_Hydroxy_2_Methyl_5_Phosphonooxymethyl_Pyridin_4_Ylmethyl__Amino__2_Methyl_Propyl__Phosphonic_Acid.pdbqt,-6.088
467_2____4__TRIFLUOROMETHOXY_PHENYL_SULFONYL_AMINO_ETHYL_DIHYDROGEN_PHOSPHATE.pdbqt,-7.03
468_PR_104.pdbqt,-5.262
469__9Z_11E_13S__13_hydroxyoctadeca_9_11_dienoic_acid.pdbqt,-6.999
470_PF_06815345.pdbqt,-6.977
471_CFT_8634.pdbqt,0.516
473_Simenepag_isopropyl.pdbqt,-8.293
474_9_S__HODE.pdbqt,-7.179
475_Coenzyme_A_persulfide.pdbqt,-5.267
477_Ethyl_hydrogen_diethylamidophosphate.pdbqt,-5.045
478_YT_001.pdbqt,1.841
479_Uridine_monophosphate.pdbqt,-6.892
481_Bevantolol.pdbqt,-7.638
483_PF_07304814.pdbqt,-8.003
484_Flavin_mononucleotide.pdbqt,-7.218
485_GW_3965.pdbqt,-8.801
486__1S__2______2S__2_3_DIHYDROXYPROPYL_OXY__HYDROXY_PHOSPHORYL_OXY__1___PENTANOYLOXY_METHYL_ETHYL_OCTANOATE.pdbqt,-6.237
487_Mezigdomide.pdbqt,-6.864
490_4_S_Glutathionyl_5_pentyl_tetrahydro_furan_2_ol.pdbqt,-6.97
491_Acebilustat.pdbqt,-9.984
492_Cedirogant.pdbqt,-9.526
493_Rilapladib.pdbqt,-3.434
494_Formycin_5__Monophosphate.pdbqt,-7.152
495_N__Phosphonoacetyl__L_Ornithine.pdbqt,-5.29
496_Enalkiren.pdbqt,-8.215
497_Fasiglifam.pdbqt,-9.815
498_SP4160.pdbqt,-5.269
499_TRV_120027.pdbqt,0.623
